FP002784 C6H1orf74_1
FP001915 atp5ib_1
FP009549 cyp2aa9_1
FP003421 naif1_1
FP007119 asxl2_1
FP001130 spc24_1
FP009956 polg_1
FP000951 ftr67_1
FP005401 C13H9orf72_1
FP001571 slc13a4_1
FP001817 si:dkeyp-53e4.1_1
FP003694 snrnp200_1
FP005261 si:ch211-216b21.2_1
FP006718 tp53inp1_1
FP007276 si:dkey-30c15.10_1
FP006085 ATP5SL_1
FP006600 galnt1_1
FP008025 ndufaf7_1
FP005781 C14H5orf45_1
FP009560 abce1_1
FP008230 asap2b_1
FP001819 si:ch211-226o13.2_1
FP007430 cd82b_1
FP001882 rplp0_1
FP002425 dguok_1
FP000480 b3gntl1_1
FP009852 ift140_1
FP006072 ppp5c_1
FP006042 zgc:174573_1
FP007218 adi1_1
FP009257 adrm1_1
FP002389 kntc1_1
FP008538 ube2r2_1
FP008568 si:dkey-11o15.10_1
FP005705 vox_1
FP010033 nedd1_1
FP004298 SLC46A2_1
FP002725 chd1l_1
FP001724 anks1b_1
FP000449 exosc1_1
FP008795 pigs_1
FP007126 MTA1_1
FP001871 rnf170_1
FP003259 col4a5_1
FP001288 hsd3b7_1
FP008127 ppp1r13bb_1
FP006397 NDUFA3_1
FP000967 ankrd12_1
FP006517 gnl1_1
FP005881 zgc:113364_1
FP009953 saal1_1
FP009723 zdhhc23b_1
FP003181 gpatch1_1
FP001658 dera_1
FP002238 flot2a_1
FP005118 ercc4_1
FP000906 MTERFD2_1
FP009962 ppp6r3_1
FP007869 hpca_1
FP003900 mfsd9_1
FP009811 ca2_1
FP008228 adam17b_1
FP004004 xpo4_1
FP005445 eif3s10_1
FP002103 atp5l_1
FP000513 exosc4_1
FP009507 pmelb_1
FP000065 zgc:112980_1
FP005337 c1d_1
FP001025 plbd1_1
FP000489 CABZ01117079.1_1
FP009872 WDR48-2_1
FP008341 smpdl3a_1
FP003390 hsd17b4_1
FP008771 amot_1
FP010100 tmem17_1
FP001933 mapk1_1
FP001847 si:ch73-266f23.1_1
FP002307 ufc1_1
FP006347 cwf19l2_1
FP000738 dhcr7_1
FP005683 olig4_1
FP004529 fryb_1
FP001961 pgam5_1
FP004871 cyb561d1_1
FP003621 mkrn4_1
FP007209 syncripl_1
FP005325 klhl31_1
FP003448 KRT80_1
FP003655 APEH-2_1
FP008710 ttc1_1
FP003795 rer1_1
FP004292 ddx55_1
FP007294 rbm28_1
FP004111 dachd_1
FP007535 foxa3_1
FP001921 chek2_1
FP001975 dao.2_1
FP006654 kpna5_1
FP000182 mab21l2_1
FP000935 rorcb_1
FP003350 zgc:162592_1
FP003943 tra2b_1
FP010162 H2AFY-5_1
FP006884 tbpl2_1
FP001572 ptprz1b_1
FP004262 pigp_1
FP005164 armc7_1
FP000569 fubp1_1
FP006107 FBXO46_1
FP009479 grasp_1
FP005899 atl3_1
FP003326 rbpjb_1
FP005997 bbs7_1
FP010151 zgc:173587_1
FP008453 wdr91_1
FP006237 ppm1da_1
FP002820 tarbp2_1
FP007628 flot1a_1
FP005804 uvssa_1
FP007072 C17H2orf43_1
FP004171 gli2a_1
FP006610 si:dkey-12j5.1_1
FP000238 igf2bp2b_1
FP004049 tyw5_1
FP004287 zfyve16_1
FP006403 mbpb_1
FP006041 si:dkey-7i4.7_1
FP008794 srsf1b_1
FP008740 rps14_1
FP009759 mtfr1_1
FP006677 phactr4b_1
FP003339 ipo7_1
FP005229 galk1_1
FP000265 nsun3_1
FP005669 fam160b1_1
FP004598 kctd9_1
FP007141 si:dkey-229e3.2_1
FP008340 trdn_1
FP005002 egr2b_1
FP008139 fip1l1a_1
FP001518 tmem181_1
FP002517 MAP3K2_1
FP001575 tmem209_1
FP009224 zgc:112175_1
FP001663 lemd3_1
FP008597 agpat9_1
FP003408 plat_1
FP001000 hspbp1_1
FP002980 mespaa_1
FP002697 alg6_1
FP000804 eif2b3_1
FP009157 pfn2_1
FP006644 mlf2_1
FP002359 tbcelb_1
FP000362 arl11_1
FP006046 si:dkey-7i4.9_1
FP005524 cyp17a1_1
FP005697 gpatch11_1
FP003309 sdcbp_1
FP005757 SH3BGRL_1
FP004592 dusp11_1
FP003731 cox6a1_1
FP003966 scel_1
FP008046 pum2_1
FP004620 ppiab_1
FP002180 dlb_1
FP003833 gpr144_1
FP009526 spryd3_1
FP009274 wfdc2_1
FP007522 kifc3_1
FP003976 gtf2f2b_1
FP004930 PTS_1
FP006073 rnf168_1
FP006709 osbpl10_1
FP003749 si:ch73-138n13.1_1
FP007467 qpctla_1
FP000048 stk16_1
FP008688 nxf1_1
FP004026 rif1_1
FP003171 irx5a_1
FP007344 herpud1_1
FP009504 fbxo25_1
FP005039 htra1b_1
FP008159 map3k7_1
FP006893 hnrnpua_1
FP003757 praf2_1
FP000397 herc3_1
FP007525 depdc7_1
FP000384 USMG5_1
FP001972 ankrd13a_1
FP008752 si:dkey-71d15.2_1
FP009282 naa10_1
FP010164 zgc:171759-1_1
FP009812 C24H8orf59_1
FP003248 cd44a_1
FP007101 dnajc27_1
FP003550 acot11b_1
FP000418 rad23aa_1
FP008607 ppp1r3b_1
FP008742 C21HXorf40A_1
FP006591 esrp1_1
FP003949 FAM117B-1_1
