FP004388 STX1A_1
FP005568 DNAJA1_1
FP001985 ERI1_1
FP001256 NOV_1
FP003953 DAGLB_1
FP000905 SKAP2_1
FP002382 BRMS1L_1
FP003329 ONECUT1_1
FP001870 PPID_1
FP003411 VPS33B_1
FP005073 RBBP5_1
FP004608 TBC1D20_1
FP003009 FP_1
FP002992 LRRC8C_1
FP004433 CHCHD2_1
FP003212 DCUN1D1_1
FP005399 GPX8_1
FP002088 STX18_1
FP003196 NMUR1_1
FP004875 LSM10_1
FP001477 CEP170_1
FP004843 TMEM222_1
FP000869 PDK4_1
FP005556 PLPPR1_1
FP000531 MID1IP1_1
FP003801 DCTN4_1
FP004398 LIMK1_1
FP002763 FZD5_1
FP002793 CDCA7_1
FP002424 RPS6KA5_1
FP001314 RRP36_1
FP003742 GABRA1_1
FP000288 ASCL1_1
FP002334 RGS6_1
FP001930 SGMS2_1
FP002271 LMO2_1
FP001740 EFHC1_1
FP000407 ZYX_1
FP002978 ALG14_1
FP004274 WDR45B_1
FP003039 SPATA6_1
FP000307 FAM180A_1
FP000684 BRCA2_1
FP005472 CARNMT1_1
FP004490 RPS6KB1_1
FP001508 UNC93A_1
FP004424 RFFL_1
FP004902 ZBTB8OS_1
FP004412 MYL10_1
FP001772 RBM41_1
FP004797 PLAT_1
FP001064 ADCY2_1
FP002157 AIP_1
FP000036 PHYH_1
FP000868 CASD1_1
FP001119 NDUFV2_1
FP002943 ASTN1_1
FP004924 C2CD2L_1
FP001726 POMC_1
FP005290 HAPLN4_1
FP000308 STMP1_1
FP000692 CDX2_1
FP000880 TMEM106B_1
FP002270 FADD_1
FP001112 TUBB6_1
FP000075 GTSE1_1
FP002038 AIRC_1
FP004202 ASS1_1
FP002880 ARHGAP15_1
FP005131 DCAKD_1
FP003430 CETP_1
FP000437 TAF13_1
FP001214 PIP4P2_1
FP005331 NARS_1
FP003697 SUMF1_1
FP003263 ALPK3_1
FP000676 ALG5_1
FP003916 TBL3_1
FP005623 otokeratin_1
FP002244 TNNI2_1
FP001886 SETD7_1
FP005501 REEP5_1
FP004831 PPP1R8_1
FP000091 FAM3C_1
FP000113 TWF1_1
FP004525 RALGAPB_1
FP003867 PRKAR1B_1
FP001232 POLR2K_1
FP002218 RIC3_1
FP001587 REV3L_1
FP004455 PIGS_1
FP003851 EGR1_1
FP003527 COTL1_1
FP001035 RIOK1_1
FP000019 CHCHD3_1
FP000197 HIST1H111L_1
FP004564 GDAP1L1_1
FP003324 PRTG_1
FP003341 COPS2_1
FP003995 PIGQ_1
FP004013 UBE2L3_1
FP000887 TSPAN13_1
FP001288 PUF60_1
FP003727 DNAJC18_1
FP000628 DCT_1
FP000801 CRHR2_1
FP001777 TIMM8A_1
FP000154 PPP1R12A_1
FP001370 SNX5_1
FP004848 YTHDF2_1
FP002705 CALCRL_1
FP000400 ENO2_1
FP005265 PALM_1
FP003252 MBNL1_1
FP001488 TBCE_1
FP002530 DNAJC9_1
FP002919 PHGDH_1
FP002564 VPS26A_1
FP003927 TNRC6A_1
FP000516 WRB_1
FP001695 HS1BP3_1
FP002622 IDE_1
FP000198 DDX47_1
FP002223 C11orf58_1
FP004829 CITED4_1
FP005272 HMHA1_1
FP001039 NRN1_1
FP004639 GNAS_1
FP003585 ZMYND10_1
FP002259 GAL_1
FP002901 ATP6V1G3_1
FP003189 SST_1
FP005420 CDK7_1
FP000325 RERG_1
FP001324 EHD3_1
FP002853 ADCY5_1
FP001455 RSPH9_1
FP003118 EHHADH_1
FP002749 TYW5_1
FP005063 STRIP1_1
FP003194 PSMD1_1
FP004308 SCPEP1_1
FP000622 SLC15A1_1
FP001910 ABHD18_1
FP005332 FECH_1
FP001315 MRPL2_1
FP001254 COLEC10_1
FP003121 EPHB1_1
FP005323 TNFAIP8L1_1
FP004352 CYTH1_1
FP002819 DES_1
FP004418 HSPB1_1
FP003568 ADAT1_1
FP000047 HGF_1
FP003853 RRN3_1
FP002721 COL6A3_1
FP003086 GADD45A_1
FP003133 ATG4B_1
FP004995 PMVK_1
FP003643 ARF5_1
FP003244 RSRC1_1
FP002471 MNAT1_1
FP000097 CAPZA2_1
FP002001 EXOSC9_1
FP003815 RASGEF1C_1
FP000752 EMSY_1
FP001729 NCOA1_1
FP003034 NSUN4_1
FP001972 COQ2_1
FP004233 CNTRL_1
FP000535 CYBB_1
FP004492 TBX2_1
FP005191 IGFBP4_1
FP003603 TEX264_1
FP001299 XPO1_1
FP005600 CERS5_1
FP004813 RPS6KA_1
FP004719 MFAP2_1
FP000871 DLX5_1
FP000352 TTLL12_1
FP001720 ESCO2_1
FP005402 DDX4_1
FP005214 VPS25_1
FP001117 RALBP1_1
FP002186 ANO3_1
FP002713 ERBB4_1
FP004428 NIPSNAP2_1
FP001604 QRSL1_1
FP000897 IGF2BP3_1
FP001158 CHCHD7_1
FP002916 SEC22B_1
FP001361 LAMP5_1
FP001854 MND1_1
FP002418 ZC3H14_1
FP004912 HPCAL4_1
FP001641 SENP6_1
FP003261 HPS3_1
FP003926 RBBP6_1
FP005286 MRPL34_1
FP004964 MPZL3_1
FP001020 DEK_1
FP000010 TMEM209_1
FP002531 TFAM_1
FP002903 LHX9_1
FP004165 DPH7_1
FP001373 APMAP_1
FP002395 SYNDIG1L_1
FP001387 MCM8_1
FP000515 HMG14_1
FP000221 PHF5A_1
FP004266 NDEL1_1
FP002788 CHRNA1_1
FP005368 TPM2_1
FP004646 RAE1_1
FP001475 DESI2_1
FP003553 CHTF8_1
FP003817 HNRNPAB_1
FP005196 JUP_1
FP002480 TIMM9_1
FP004990 ILF2_1
FP004537 ZNF341_1
FP003635 TKT_1
FP005625 AQP2_1
FP002135 OXT_1
FP002702 SLC40A1_1
FP004987 LRRC71_1
FP005071 NFASC_1
FP001155 TGS1_1
FP003265 NMB_1
FP003706 RPL32_1
FP005211 PSMC3IP_1
FP004390 TBL2_1
FP002402 FOS_1
FP001826 MAGT1_1
FP003617 OGN_1
FP000615 ARGLU1_1
FP002149 TMEM258_1
FP001348 FBXO48_1
FP003165 PLS1_1
FP004394 GGCL1_1
FP003633 CARD19_1
FP004625 CTNNBL1_1
FP001861 NPY2R_1
FP000339 LDHB_1
FP004254 PBX3_1
FP004976 C11orf52_1
FP000686 ALOX5AP_1
FP002456 INF2_1
FP001541 AIG1_1
FP000337 C3AR1_1
FP002837 PECR_1
FP002523 MAT1A_1
FP001161 SDCBP_1
FP003598 MON1A_1
FP004984 COPA_1
FP004762 PCNA_1
FP004290 WBP2_1
FP001512 QKI_1
FP000269 FBXO7_1
FP005435 GFM2_1
FP003418 SMPD3_1
FP004943 NTM_1
FP003549 SPIRE2_1
FP002596 ANXA7_1
FP001355 NDUFAF5_1
FP001593 DDO_1
FP003737 WWC1_1
FP004963 PCSK7_1
FP001950 FBXO8_1
FP003169 C3orf58_1
FP005481 ISCA1_1
FP000770 DNAJB13_1
FP004784 ERLIN2_1
FP003312 GTF2A2_1
FP001404 RAB3GAP2_1
FP005601 ASIC1_1
FP000784 RP4-613B23_1
FP002688 FAM175B_1
FP002917 NOTCH2_1
FP003668 CPNE9_1
FP000829 ITGB1_1
FP003184 OSTN_1
FP000054 PMPCB_1
FP004332 SOX9_1
FP003691 ARL6IP5_1
FP003821 KLHL3_1
FP001438 CRIPT_1
FP002623 MARCH5_1
FP000463 CIP2A_1
FP004137 BF1_1
FP003509 CMTM3_1
FP002662 SFR1_1
FP005143 STRADA_1
FP003360 FAH_1
FP005114 NFYA_1
FP004553 DBNDD2_1
FP001437 PIGF_1
FP001519 SF3B5_1
FP002998 SH3GLB1_1
FP005599 METTL7A_1
FP002248 TOLLIP_1
FP002510 BMP4_1
FP001685 TRIB2_1
FP001537 GTF2H5_1
FP002423 TTC7B_1
FP003574 TNNC1_1
FP000152 CSRP2_1
FP002207 TEAD1_1
FP000508 MORC3_1
FP005144 CCDC47_1
FP001853 TRIM2_1
FP001945 RWDD4_1
FP004782 RNF122_1
FP002637 ZDHHC16_1
FP003260 CP_1
FP004598 DNAJC5_1
FP004162 LRSAM1_1
FP003935 PDPK1_1
FP001713 MAPRE3_1
FP001467 CEBPZ_1
FP000318 CECR2_1
FP004151 AMBP_1
FP002263 C11orf31_1
FP004280 ST6GALNAC1_1
FP000830 ZEB1_1
FP000857 ACBD7_1
FP004954 TTC36_1
FP002288 SYT13_1
FP004571 CDH4_1
FP004662 PARD6B_1
FP005006 C25H1ORF43_1
FP002075 QDPR_1
FP003298 NRG4_1
FP001943 ENPP6_1
FP004741 MAD2L2_1
FP004931 PANX3_1
FP003842 RNF14_1
FP002049 TEC_1
FP001500 URB2_1
FP004473 TIMM22_1
FP004432 PHKG1_1
FP001670 RPS7_1
FP003462 CBFB_1
FP002197 PRRG4_1
FP003546 CHMP1A_1
FP003101 DBR1_1
FP003159 SPHKAP_1
FP005293 BORCS8_1
FP000006 TNPO3_1
FP003764 NHP2_1
FP002002 ANXA5_1
FP004927 FEZ1_1
FP001669 ADI1_1
FP002085 TMEM128_1
FP000773 P4HA3_1
FP002066 SMIM20_1
FP003493 PDCD5_1
FP001889 ZNF330_1
FP000424 COX17_1
FP002378 PPP2R3C_1
FP004147 NPDC1_1
FP000496 SOD1_1
FP000757 cRPS11_1
FP002286 CD82_1
FP004400 CALN1_1
FP004609 C20orf96_1
FP000195 HIST2H2AC_1
FP000290 IGF-I_1
FP000335 GOLT1B_1
FP002036 VPS37A_1
FP004515 PAFAH1B1_1
FP000103 IFRD1_1
FP002817 PLA2R1_1
FP005558 HSDL2_1
FP001347 PLEK_1
FP005529 LMNB1_1
FP004530 CPNE1_1
FP001935 UFSP2_1
FP004697 INTS11_1
FP000314 NINJ2_1
FP000115 DBX2_1
FP000438 CCDC80_1
FP000484 C21orf91_1
FP002132 PANK2_1
FP003879 CARD11_1
FP004603 FKBP12_1
FP000925 SGO1_1
FP000618 TMTC4_1
FP005624 BCDIN3D_1
FP004576 OSBPL2_1
FP003061 HSPB11_1
FP000475 CD247_1
FP000009 ZC3HC1_1
FP000517 SH3BGR_1
FP003095 NEGR1_1
FP001839 ATP1B4_1
FP003882 MMD2_1
FP001372 DSTN_1
FP004376 ATP5H_1
FP001784 CMC4_1
FP002599 CUEDC2_1
FP000287 NT5DC3_1
FP003024 EIF2B3_1
FP004626 UBE2C_1
FP002617 CEP55_1
FP001148 PPDPFL_1
FP003932 COG7_1
FP001607 PREP_1
FP005222 MVP_1
FP001900 MAB21L2_1
FP000196 H2A-VI_1
FP003065 SSBP3_1
FP002224 RPS13_1
FP000061 RINT1_1
FP002277 PDHX_1
FP001750 MSN_1
FP005035 NIT1_1
FP001642 TMEM30A_1
FP005562 KIAA0368_1
FP003130 WDR53_1
FP000994 HECW1_1
FP001620 MANEA_1
FP003510 RP11-403P17_1
FP003525 WFDC1_1
FP004986 NHLH1_1
FP002144 DDB1_1
FP002289 ASTL_1
FP003414 MFAP1_1
FP000894 TOMM7_1
FP001946 DCTD_1
FP001172 VCPIP1_1
FP005120 CCND3_1
FP003859 LITAF_1
FP002341 ERH_1
FP005019 CADM3_1
FP005428 CRHBP_1
FP003100 ARMC8_1
FP002174 SIGIRR_1
FP000362 PPARA_1
FP001696 LDAH_1
FP002139 SMYD5_1
FP004775 SLC25A37_1
FP002600 SEC31B_1
FP003026 TOE1_1
FP002364 NOVA1_1
FP000429 UPK1B_1
FP005542 COX7C_1
FP001758 LPAR4_1
FP002876 MCM6_1
FP005383 PRKAA1_1
FP000521 HSF2BP_1
FP002583 PPIF_1
FP001209 RIPK2_1
FP002862 CEP70_1
FP004015 TOP3B_1
FP002041 KDR_1
FP005166 HOXB4_1
FP001062 FAM173B_1
FP002476 JKAMP_1
FP003569 GABARAPL2_1
FP000065 HBP1_1
FP000431 LSAMP_1
FP004237 NDUFA8_1
FP004940 FLI1_1
FP003105 GIGYF2_1
FP004584 SLC17A9_1
FP000694 GTF3A_1
FP004177 NAIF1_1
FP000836 PDSS1_1
FP005255 CHAF1A_1
FP001788 ZMYM3_1
FP004399 SBDS_1
FP002095 TBC1D14_1
FP003308 RAB8B_1
FP005364 HINT2_1
FP002843 EPB41L5_1
FP002343 ACTN1_1
FP005622 KRT5_1
FP002539 NRBF2_1
FP003226 SLC2A2_1
FP000247 H1F0_1
FP002501 TMX1_1
FP001992 DCK_1
FP003567 KARS_1
FP003538 MVD_1
FP002298 SPI1_1
FP004468 CRYBA1_1
FP004644 PCK1_1
FP003964 HBZ_1
FP004718 NECAP2_1
FP004749 YBX1_1
FP004381 GGA3_1
FP005397 NDUFS4_1
FP001058 TRIO_1
FP004386 TMEM94_1
FP001663 ERICH1_1
FP001646 EEF1A1_1
FP003028 PRDX1_1
FP002787 CHN1_1
FP003335 TMOD3_1
FP003792 FAM114A2_1
FP003864 NPTX2_1
FP000933 NGLY1_1
FP000068 CBLL1_1
FP004096 DERL3_1
FP001129 TYMS_1
FP002881 GTDC1_1
FP005326 SAMD4B_1
FP000978 HERPUD2_1
FP002558 HNRNPH3_1
FP004660 MOCS3_1
FP002389 ZNF410_1
FP003708 PLXND1_1
FP000821 ESYT2_1
FP000142 CNOT2_1
FP004027 NOC4L_1
FP004072 CMKLR1_1
FP001111 PRELID3A_1
FP001542 ADGRG6_1
FP003870 COX19_1
FP001971 HNRNPD_1
FP003638 SELK_1
FP001206 RMDN1_1
FP004110 COX6A1_1
FP000436 CLDND1_1
FP003571 POC1A_1
FP003362 KIAA1024_1
FP003958 USP7_1
FP004010 UQCRC2_1
FP000939 CMTM8_1
FP001365 DTD1_1
FP004103 HNF1A_1
FP002559 PBLD_1
FP003838 SEPT8_1
FP003215 TTC14_1
FP000842 PIP4K2A_1
FP001722 CLU_1
FP002416 ADCK1_1
FP004971 HYOU1_1
FP003548 FANCA_1
FP003890 ATP5J2_1
FP002015 PDLIM5_1
FP005041 ELF3_1
FP005238 cNFI-C_1
FP004315 DDX5_1
FP003331 MYO5A_1
FP004713 EXOSC10_1
FP003018 B4GALT2_1
FP000701 ZDHHC20_1
FP003168 SLC9A9_1
FP003455 LDHD_1
FP005092 SLC16A1_1
FP001349 APLF_1
FP004365 ABCC3_1
FP003897 PEMT_1
FP005267 PLPPR3_1
FP004708 PGD_1
FP004343 NPLOC4_1
FP000751 TSKU_1
FP002342 EXD2_1
FP005395 MOCS2_1
FP004817 SH3BGRL3_1
FP001996 ALB_1
FP002606 SDF1_1
FP004148 FBXW5_1
FP002700 OSGEPL1_1
FP001080 LPCAT1_1
FP004944 OPCML_1
FP005410 IPO11_1
FP002685 BUB3_1
FP003533 KLHDC4_1
FP002525 RET_1
FP000702 MRPL57_1
FP000167 BTG1_1
FP002594 MYOZ1_1
FP001823 RLIM_1
FP004259 FBXW2_1
FP005438 UTP15_1
FP003991 FAM173A_1
FP005164 HOXB7_1
FP001837 CUL4B_1
FP005007 UBAP2L_1
FP003345 C15orf48_1
FP001745 ENPP4_1
FP002644 FGF8_1
FP000923 SATB1_1
FP002281 COMMD9_1
FP000526 FUNDC1_1
FP002969 TRMT13_1
FP002455 ASPG_1
FP005004 SLC39A1_1
FP002896 VAV3_1
FP005566 PLAA_1
FP002433 GLRX5_1
FP001614 PNISR_1
FP003490 POP4_1
FP003172 AGTR1_1
FP004972 NCAM1_1
FP004832 SMPDL3B_1
FP000194 HIST2H3D_1
FP002344 Zfp36l1_1
FP000789 WNT3A_1
FP002616 RBP4_1
FP003487 ORC6_1
FP004334 COG1_1
FP004884 PSMB2_1
FP005513 CLTA_1
FP004339 BTBD17_1
FP001240 FZD6_1
FP000226 RBX1_1
FP002746 HSPE1_1
FP000381 PHC1_1
FP002724 GBX2_1
FP000672 NHLRC3_1
FP001505 TBP_1
FP004583 GID8_1
FP005273 POLR2E_1
FP000525 CXorf36_1
FP004360 ALYREF_1
FP003403 CTDSPL2_1
FP002771 IDH1_1
FP003436 NUTF2_1
FP000074 TPRKB_1
FP003912 MSRB1_1
FP002297 SLC39A13_1
FP003973 MGRN1_1
FP004408 CAMKK1_1
FP002323 GANC_1
FP003671 TADA3_1
FP001316 PTK7_1
FP005427 TBCA_1
FP004470 BLMH_1
FP000652 CPB2_1
FP000598 ST6GAL2_1
FP000111 ZCRB1_1
FP003586 NPRL2_1
FP003747 FABP6_1
FP000621 UBAC2_1
FP004543 GSS_1
FP001807 ARHGEF6_1
FP005444 MRPS27_1
FP004926 HMBS_1
FP002871 DPP10_1
FP004704 SLC25A33_1
FP004265 TMEM220_1
FP002826 WNT6_1
FP000818 LMBR1_1
FP001703 fndc4_1
FP002319 NDUFAF1_1
FP001948 HMGB2_1
FP002486 KTN1_1
FP004364 LUC7L3_1
FP000356 PARVB_1
FP004216 SURF2_1
FP000539 NR0B1_1
FP004759 GFPT1_1
FP005534 GLRX_1
FP004723 UBR4_1
FP003207 POLR2H_1
FP005291 NR2C2AP_1
FP004768 DPYSL2_1
FP001836 MCTS1_1
FP004732 CTRC_1
FP002361 C15orf41_1
FP001980 SARAF_1
FP003400 CORO2B_1
FP004689 NADK_1
FP003900 DRG2_1
FP001700 SF3B6_1
FP000641 ELF1_1
FP005488 HABP4_1
FP004114 RAB35_1
FP004383 MIF4GD_1
FP000482 HSPA13_1
FP005095 DCLRE1B_1
FP001239 ATP6V1C1_1
FP005064 SLC16A4_1
FP004403 EIF4H_1
FP001072 RPRD1A_1
FP000162 DUSP6_1
FP001535 TFB1M_1
FP000986 LRRFIP2_1
FP002669 TCF7L2_1
FP004589 PPDPF_1
FP005451 RCL1_1
FP004614 MYLK2_1
FP004018 CDC45_1
FP001178 TRPA1_1
FP000718 GUCY1A2_1
FP002414 SLIRP_1
FP001395 NVL_1
FP000163 POC1B_1
FP003376 SYNM_1
FP001016 SOX4_1
FP003002 BCL10_1
FP002630 HPSE2_1
FP005499 ISOC1_1
FP003429 GFOD2_1
FP003639 WNT5A_1
FP000447 ST3GAL6_1
FP005431 POC5_1
FP000368 MRPS35_1
FP000512 DSCR3_1
FP000977 SEPT7_1
FP003785 THG1L_1
FP002790 SCRN3_1
FP004140 BLB2_1
FP000114 NELL2_1
FP000975 SFRP4_1
FP000886 BZW2_1
FP002587 COMTD1_1
FP000740 CCDC90B_1
FP003389 RAB11A_1
FP005538 LYSMD3_1
FP004446 SMYD4_1
FP004206 UCK1_1
FP001431 PLEKHH2_1
FP004557 YWHAB_1
FP002980 SLC44A3_1
FP000058 RELN_1
FP000627 TGDS_1
FP000729 MTMR2_1
FP005521 FUT10_1
FP001319 ESF1_1
FP002929 SCYL3_1
FP001711 TRIM54_1
FP004499 DHRS11_1
FP001833 PSMD10_1
FP002261 CNTF_1
FP001029 PAK1IP1_1
FP003290 COMMD4_1
FP002831 AAMP_1
FP002339 SRSF5_1
FP004793 SFRP1_1
FP003576 SMIM4_1
FP004117 PEBP1_1
FP004915 PPT1_1
FP000049 PHTF2_1
FP002314 CHAC1_1
FP005178 CWC25_1
FP004709 DFFA_1
FP002047 OCIAD1_1
FP003562 DHODH_1
FP002400 ACYP1_1
FP004321 CACNG4_1
FP004692 MRPL20_1
FP002053 TMEM33_1
FP000983 LSM5_1
FP004819 MATN1_1
FP004489 TUBD1_1
FP001572 HDDC2_1
FP005490 SHC3_1
FP004475 EMC6_1
FP002109 NELFA_1
FP000208 TCF20_1
FP002458 AKT1_1
FP003435 CENPT_1
FP004588 EEF1A2_1
FP004375 MRPL58_1
FP004511 NOS2_1
FP000190 ARHGDIB_1
FP000845 COMMD3_1
FP002503 RTRAF_1
FP003390 DIS3L_1
FP004580 SLCO4A1_1
FP004546 ARHGAP40_1
FP001534 RGS17_1
FP003621 VGLL4_1
FP001928 RPL34_1
FP003046 RAB3B_1
FP002184 PRMT3_1
FP004994 KCNN3_1
FP005485 FBP1_1
FP004020 SEPT5_1
FP002387 GEMIN2_1
FP000459 NFKBIZ_1
FP003495 NUDT19_1
FP002777 PLEKHA3_1
FP001834 VSIG1_1
FP005000 S100A6_1
FP004975 NKAPD1_1
FP004145 DPP7_1
FP001802 MOSPD1_1
FP000175 AMDHD1_1
FP001462 YIPF4_1
FP004773 NEFL_1
FP000073 CPNE8_1
FP005040 MAPK13_1
FP003098 SLC44A5_1
FP000416 ATP6V1A_1
FP000134 NUP107_1
FP002676 FAM45A_1
FP002086 LYAR_1
FP004922 NIPAL3_1
FP003743 GABRA6_1
FP002348 ATP6V1D_1
FP001845 SLC25A5_1
FP002645 DPCD_1
FP001368 BIRC5_1
FP004030 RIMBP2_1
FP000079 ALG12_1
FP002148 TMEM216_1
FP000138 CPSF6_1
FP001907 SMIM19_1
FP005629 PRIM1_1
FP004846 PHACTR4_1
FP000608 PCID2_1
FP004033 BNAS1_1
FP005159 PHB_1
FP002659 CALHM3_1
FP001357 ISM1_1
FP000389 VAMP1_1
FP001482 CHRM3_1
FP003674 LAMB2_1
FP002989 TGFBR3_1
FP001275 SLA_1
FP004341 CCDC137_1
FP000446 CPOX_1
FP004868 MTF1_1
FP000522 PDXK_1
FP001162 TOX_1
FP001328 WDR43_1
FP001828 CAPN6_1
FP001984 TNKS_1
FP002166 RPUSD2_1
FP003258 COMMD2_1
FP001538 TMEM181_1
FP004929 MSANTD2_1
FP002900 PTPRC_1
FP003012 PIGK_1
FP005371 MRPL17_1
FP000005 LMF2_1
FP000721 PDGFD_1
FP000635 COMMD6_1
FP001427 MRPS10_1
FP002585 POLR3A_1
FP005173 NFE2L1_1
FP002841 MRAS_1
FP003557 NFAT5_1
FP000420 RABL3_1
FP000787 GJC2_1
FP000981 FKBP9_1
FP003767 LMAN2_1
FP000149 KRR1_1
FP001632 SNAP91_1
FP005449 CDC37L1_1
FP005062 AHCYL1_1
FP002689 BCCIP_1
FP005500 MCC_1
FP001739 GAL5_1
FP004430 CCT6_1
FP002878 CXCR4_1
FP000004 SBF1_1
FP003875 MRM2_1
FP001494 NTPCR_1
FP001634 RWDD2A_1
FP000471 ARL6_1
FP004211 GBGT1_1
FP003219 ACTL6A_1
FP003986 RHOT2_1
FP003723 HBEGF_1
FP002725 SPP2_1
FP003155 SERPINE2_1
FP000452 NIT2_1
FP001808 FGF13_1
FP005578 DTWD2_1
FP003141 UBE2G2_1
FP002706 ITGAV_1
FP004333 SLC39A11_1
FP003534 SLC7A5_1
FP004586 ARFGAP1_1
FP005059 PPIL1_1
FP000936 TGFBR2_1
FP004351 CANT1_1
FP002124 RNF103_1
FP001602 OSTM1_1
FP004664 CEBPB_1
FP001733 INTS9_1
FP002941 FAM20B_1
FP003053 COA7_1
FP003806 CDX1_1
FP000941 CMTM6_1
FP003969 CLCN7_1
FP003773 FGFR4_1
FP004555 STK4_1
FP000595 NCK2_1
FP001095 GMNN_1
FP002405 TGFB3_1
FP004442 MYO1C_1
FP004678 ICMT_1
FP002096 TADA2B_1
FP004816 LIN28A_1
