FP006017 SOSTDC1_1
FP015058 NNAT_1
FP006480 CAV2_1
FP008463 ARMS2_1
FP009413 CBL_1
FP012830 PIP5K2B_1
FP015013 ITCH_1
FP004477 PAIP1_1
FP001444 ETNK2_1
FP005392 ANKS1A_1
FP009423 TMEM136_1
FP002720 UGT1A4_1
FP008315 ZFYVE27_1
FP014670 PRKCG_1
FP013257 GRB2_1
FP000646 GNG12_1
FP011566 FAH_1
FP009684 IAPP_1
FP009677 PLEKHA5_1
FP005832 PEX3_1
FP009710 TM7SF3_1
FP006401 MUC17_1
FP000340 TINAGL1_1
FP005482 CUL7_1
FP002461 NCKAP1_1
FP007623 HSDL2_1
FP005888 SERAC1_1
FP015959 RBM10_1
FP008894 CCDC86_1
FP006019 BZW2_1
FP005477 PEX6_1
FP003411 NEK11_1
FP000610 FGGY_1
FP006255 FGL2_1
FP012158 SETD6_1
FP000961 ARNT_1
FP013810 MBD3L3_1
FP001276 METTL11B_1
FP013863 OLFM2_1
FP010352 NCOR2_1
FP002269 UGGT1_1
FP015589 INPP5J_1
FP006109 EEPD1_1
FP013302 SEC14L1_1
FP009342 ANKK1_1
FP016447 BRCC3_1
FP011081 PPP4R4_1
FP009167 CHCHD8_1
FP002178 TMEM182_1
FP000135 TNFRSF1B_1
FP008878 TCN1_1
FP010751 NOP9_1
FP009209 INTS4_1
FP014523 BCAT2_1
FP006713 DEFA1B_1
FP015684 APOBEC3C_1
FP001060 SHE_1
FP013615 ZNF236_1
FP001122 MEF2D_1
FP003736 LETM1_1
FP006280 SLC25A40_1
FP007859 MAMDC4_1
FP011244 RAD51_1
FP005691 QRSL1_1
FP006529 AHCYL2_1
FP007975 MRC1_1
FP009870 EIF4B_1
FP002963 HIGD1A_1
FP005469 UBR2_1
FP012290 ZNRF1_1
FP003553 BCHE_1
FP015399 TRAPPC10_1
FP002043 AUP1_1
FP010427 USP12_1
FP007059 PTDSS1_1
FP002008 CYP26B1_1
FP013110 MKS1_1
FP010824 ARF6_1
FP015063 RPRD1B_1
FP009294 GRIA4_1
FP002484 HIBCH_1
FP005263 PPP1R18_1
FP008855 UBE2L6_1
FP002815 EMC3_1
FP011694 PRR35_1
FP014114 ZNF682_1
FP001798 PRR30_1
FP008160 ANAPC16_1
FP000262 MAN1C1_1
FP005330 CYP21A2_1
FP006220 ABHD11_1
FP000648 RPE65_1
FP002728 AGAP1_1
FP013197 AMZ2_1
FP014780 ZNF776_1
FP008034 ZNF25_1
FP005538 RHAG_1
FP010880 TOMM20L_1
FP014609 KLK10_1
FP012042 HSD3B7_1
FP006740 MTMR9_1
FP003968 JCHAIN_1
FP015477 SERPIND1_1
FP014203 KMT2B_1
FP003989 CXCL3_1
FP007826 C9orf116_1
FP013890 QTRT1_1
FP011332 CRI1_1
FP008816 F2_1
FP005164 NOL7_1
FP010757 NFATC4_1
FP008517 PRAP1_1
FP008407 SMC3_1
FP009692 ABCC9_1
FP007891 PNPLA7_1
FP000878 CASQ2_1
FP015297 N6AMT1_1
FP006912 UBE2V2_1
FP008168 NUDT13_1
FP007366 C9orf24_1
FP006450 HBP1_1
FP016409 SSR4_1
FP016376 PASD1_1
FP004333 ACSL1_1
FP007608 AKAP2_1
FP001552 DUSP10_1
FP008178 SYNPO2L_1
FP003246 TFG_1
FP000956 ENSA_1
FP006684 SHH_1
FP007221 SCRIB_1
FP000820 AHCYL1_1
FP010251 RITA1_1
FP007290 ERMP1_1
