FP010550 Pigb_1
FP001422 Snapc4_1
FP011548 Onecut3_1
FP002122 B2m_1
FP004615 Zmym6_1
FP001167 KY467529_1
FP012144 Eml6_1
FP002903 Phc3_1
FP002316 Rbbp9_1
FP016414 Plxnb2_1
FP018015 4932415M13Rik_1
FP005734 Zfp605_1
FP008440 Hbb-bs_1
FP000659 Lypd1_1
FP012706 Vps53_1
FP012201 Gabrb2_1
FP005680 Gbp11_1
FP018439 Pcdhb2_1
FP017272 Mx2_1
FP016956 Itgb5_1
FP007536 Hif3a_1
FP017296 Dynlt1a_1
FP002901 Sec62_1
FP000660 Nckap5_1
FP011993 Ccdc157_1
FP014765 Cntnap3_1
FP015389 Gm5800_1
FP010916 Mir128-2_1
FP019121 Insl6_1
FP015091 Gm3383_1
FP012758 Pigs_1
FP006125 Zscan21_1
FP002456 Raly_1
FP016499 AK157795_1
FP010759 AK156363_1
FP005350 Ccdc96_1
FP009307 D130040H23Rik_1
FP009754 Calb2_1
FP012890 Mir21a_1
FP000813 Uchl5_1
FP016175 Fbxl6_1
FP009945 Mir1903_1
FP015639 Kif13b_1
FP020084 Luzp4_1
FP009353 Pgpep1_1
FP014380 Hist1h2ak_1
FP004991 Vamp3_1
FP019033 Ms4a3_1
FP001368 Tmem203_1
FP014884 Cox7c_1
FP005112 AK187054_1
FP003230 Efna3_1
FP018210 Epas1_1
FP018517 Spink11_1
FP013478 AK136642_1
FP002250 Mavs_1
FP017572 Nudt3_1
FP008582 Abca16_1
FP004037 Fam221b_1
FP001093 Desi2_1
FP009508 Gadd45gip1_1
FP005525 Stap1_1
FP001600 Ndufa8_1
FP009997 1700012B09Rik_1
FP013450 Trim47_1
FP006787 M1ap_1
FP006258 Lnx2_1
FP005918 Anapc7_1
FP003208 1500004A13Rik_1
FP000929 Fmo2_1
FP000335 Idh1_1
FP015301 Cdhr1_1
FP010137 Foxred1_1
FP002784 Gmeb2_1
FP016152 Scrib_1
FP011871 B4galnt1_1
FP018075 Dennd1c_1
FP017193 Krtap8-1_1
FP004879 Dnajc16_1
FP017294 AK077171_1
FP013310 Ace3_1
FP009123 Tacc1_1
FP006880 Efcc1_1
FP001637 Zeb2os_1
FP016614 Pcbp2_1
FP012167 Hba-a2_1
FP013228 Etv4_1
FP009522 Junb_1
FP002980 4930577N17Rik_1
FP014309 Wdr37_1
FP010258 BC049352_1
FP018863 AK148054_1
FP018579 Slc12a2_1
FP013891 Slc38a6_1
FP019532 Spaca5_1
FP017973 Prickle4_1
FP005209 2900005J15Rik_1
FP014745 Zfp808_1
FP013495 Pgs1_1
FP004389 Rab3b_1
FP010458 1110036E04Rik_1
FP018188 Eml4_1
FP010824 Mst1r_1
FP003968 Smu1_1
FP002521 Lbp_1
FP013890 Trmt5_1
FP009475 Ptger1_1
FP004990 Per3_1
FP012388 Guk1_1
FP016957 Umps_1
FP001567 Snora65_1
FP003919 Ndufaf4_1
FP011498 Bsg_1
FP010192 Clmp_1
FP002194 Gm14005_1
FP005433 Klhl5_1
FP018392 Matr3_1
FP002694 Zbp1_1
FP001672 Galnt5_1
FP000616 Serpinb3a_1
FP010734 Amotl2_1
FP005163 Pmpcb_1
FP019183 Btaf1_1
FP002636 Cse1l_1
FP002740 Fam217b_1
FP017493 Jpt2_1
FP018487 Spry4_1
FP010062 Ldlr_1
FP005960 Cdk2ap1_1
FP005898 Mapkapk5_1
FP000033 Prex2_1
